county,station,year,month,max_month_temp,min_month_temp,max_month_dewpt,min_month_dewpt,max_month_vappr,min_month_vappr,max_month_msl,min_month_msl
Dublin,CASEMENT,1990,1,13.6,0.2,11.8,-1.8,13.8,5.4,1032.1,956.6
Mayo,CLAREMORRIS,1990,1,12.9,-1.0,11.7,-1.9,13.7,5.3,1030.1,955.6
Mayo,BELMULLET,1990,1,12.0,1.2,11.2,-3.9,13.2,4.6,1028.6,957.6
Cork,CORK AIRPORT,1990,1,12.0,0.2,11.2,-2.6,13.3,5.1,1032.9,960.9
Cork,ROCHES POINT,1990,1,12.5,2.3,11.7,-1.6,13.7,5.4,1032.7,961.2
Kerry,VALENTIA OBSERVATORY,1990,1,13.0,2.7,12.1,-1.6,14.1,5.5,1031.4,961.2
Clare,SHANNON AIRPORT,1990,1,13.0,1.2,11.2,-2.3,13.3,5.2,1032.1,959.3
Westmeath,MULLINGAR,1990,1,13.0,-1.3,11.1,-1.8,13.2,5.4,1031.1,956.2
Donegal,MALIN HEAD,1990,1,12.5,2.0,10.6,-2.3,12.7,5.2,1027.3,959.5
Dublin,DUBLIN AIRPORT,1990,1,14.0,0.3,11.6,-1.5,13.6,5.5,1031.6,956.4
Mayo,CLAREMORRIS,1990,2,12.8,-3.1,10.5,-4.1,12.7,4.5,1019.4,958.7
Dublin,CASEMENT,1990,2,13.5,-3.5,10.9,-5.6,13.0,4.0,1023.6,962.6
Mayo,BELMULLET,1990,2,12.5,-1.1,10.5,-4.8,12.7,4.3,1017.7,949.5
Cork,CORK AIRPORT,1990,2,11.9,0.4,11.5,-2.9,13.6,4.9,1024.4,968.8
Kerry,VALENTIA OBSERVATORY,1990,2,12.7,2.8,11.4,-2.4,13.4,5.2,1022.6,962.1
Clare,SHANNON AIRPORT,1990,2,13.2,1.1,10.7,-2.9,12.8,4.9,1022.7,964.5
Cork,ROCHES POINT,1990,2,11.8,2.2,11.4,-1.6,13.5,5.4,1024.6,968.5
Donegal,MALIN HEAD,1990,2,13.7,0.3,10.5,-6.3,12.7,3.8,1017.4,954.3
Westmeath,MULLINGAR,1990,2,12.4,-2.9,10.7,-3.9,12.8,4.6,1021.8,961.5
Dublin,DUBLIN AIRPORT,1990,2,14.8,-0.6,10.6,-3.2,12.8,4.8,1023.7,960.4
Cork,CORK AIRPORT,1990,3,15.3,-0.9,10.9,-4.0,13.0,4.5,1045.4,1008.3
Dublin,CASEMENT,1990,3,16.0,-1.5,10.6,-2.9,12.8,4.9,1042.6,1001.7
Mayo,CLAREMORRIS,1990,3,15.5,-1.0,11.5,-2.5,13.5,5.0,1041.1,1001.1
Mayo,BELMULLET,1990,3,13.8,2.0,10.2,-4.6,12.4,4.3,1039.7,996.8
Clare,SHANNON AIRPORT,1990,3,16.0,-0.1,11.5,-2.3,13.6,5.1,1043.7,1005.4
Cork,ROCHES POINT,1990,3,13.8,0.7,11.3,-1.3,13.4,5.5,1045.0,1007.8
Kerry,VALENTIA OBSERVATORY,1990,3,16.0,-0.3,11.8,-1.3,13.9,5.6,1044.0,1005.3
Donegal,MALIN HEAD,1990,3,14.0,1.4,10.9,-5.2,13.0,4.2,1037.1,992.4
Westmeath,MULLINGAR,1990,3,15.5,-1.3,10.6,-3.7,12.7,4.7,1042.2,1001.4
Dublin,DUBLIN AIRPORT,1990,3,16.6,-1.1,10.6,-3.4,12.8,4.7,1042.2,1000.5
Mayo,BELMULLET,1990,4,21.2,1.1,14.6,-5.1,16.6,4.2,1029.9,996.2
Cork,CORK AIRPORT,1990,4,18.0,-2.0,11.4,-5.4,13.5,4.1,1029.6,1000.4
Dublin,CASEMENT,1990,4,18.9,-3.0,12.9,-4.7,14.9,4.3,1030.5,995.9
Mayo,CLAREMORRIS,1990,4,21.7,-2.6,13.9,-3.7,15.9,4.7,1030.4,996.2
Kerry,VALENTIA OBSERVATORY,1990,4,22.3,-1.5,12.7,-3.4,14.6,4.8,1028.9,1002.1
Clare,SHANNON AIRPORT,1990,4,21.8,-0.8,12.5,-4.4,14.5,4.4,1030.4,999.2
Cork,ROCHES POINT,1990,4,16.3,1.1,11.1,-4.9,13.2,4.3,1029.5,1000.6
Westmeath,MULLINGAR,1990,4,20.6,-2.8,15.2,-3.8,17.3,4.6,1030.8,995.6
Donegal,MALIN HEAD,1990,4,18.9,0.9,13.5,-5.9,15.5,4.0,1029.7,991.7
Dublin,DUBLIN AIRPORT,1990,4,16.5,-2.7,12.3,-5.4,14.2,4.1,1030.6,994.9
Dublin,CASEMENT,1990,5,22.5,3.3,14.1,-4.7,16.1,4.3,1031.9,1004.2
Mayo,CLAREMORRIS,1990,5,25.0,3.4,16.2,1.5,18.5,6.9,1031.0,1002.6
Mayo,BELMULLET,1990,5,24.5,4.8,14.6,3.0,16.6,7.6,1030.3,1002.7
Cork,CORK AIRPORT,1990,5,23.0,4.8,14.8,2.4,16.8,7.2,1031.0,1003.0
Cork,ROCHES POINT,1990,5,20.0,6.4,14.2,3.8,16.2,8.0,1031.0,1003.1
Kerry,VALENTIA OBSERVATORY,1990,5,25.5,5.0,14.7,4.3,16.8,8.3,1029.4,1001.2
Clare,SHANNON AIRPORT,1990,5,25.2,6.2,15.5,2.2,17.6,7.1,1031.0,1002.7
Donegal,MALIN HEAD,1990,5,22.0,5.4,13.4,2.3,15.4,7.2,1032.0,1005.5
Westmeath,MULLINGAR,1990,5,24.1,2.4,16.7,2.1,18.9,7.1,1032.1,1003.5
Dublin,DUBLIN AIRPORT,1990,5,23.4,4.4,14.4,0.1,16.4,6.1,1032.4,1004.2
Cork,CORK AIRPORT,1990,6,18.4,6.8,14.9,3.0,17.0,7.6,1026.9,988.6
Mayo,BELMULLET,1990,6,16.6,6.6,13.8,3.8,15.7,8.0,1028.0,993.8
Mayo,CLAREMORRIS,1990,6,18.1,4.6,14.4,4.4,16.3,8.3,1027.5,992.6
Dublin,CASEMENT,1990,6,20.0,6.3,14.6,2.1,16.6,7.1,1026.8,991.8
Cork,ROCHES POINT,1990,6,18.3,8.3,14.3,3.3,16.3,7.7,1026.5,987.7
Kerry,VALENTIA OBSERVATORY,1990,6,17.3,7.0,14.9,5.1,17.0,8.8,1026.9,992.4
Clare,SHANNON AIRPORT,1990,6,19.9,8.2,16.5,1.8,18.8,6.9,1027.6,992.3
Westmeath,MULLINGAR,1990,6,19.1,5.5,14.8,2.8,16.8,7.4,1026.7,992.2
Donegal,MALIN HEAD,1990,6,20.2,7.4,13.2,4.1,15.2,8.2,1026.7,994.2
Dublin,DUBLIN AIRPORT,1990,6,20.0,5.6,14.1,2.1,16.1,7.2,1026.7,992.0
Dublin,CASEMENT,1990,7,27.0,5.4,17.0,3.5,19.3,7.8,1028.5,987.5
Mayo,BELMULLET,1990,7,26.5,9.0,19.8,5.7,23.0,9.2,1028.6,986.6
Mayo,CLAREMORRIS,1990,7,25.5,4.0,18.9,3.8,21.7,8.0,1028.5,987.0
Cork,CORK AIRPORT,1990,7,23.0,7.3,17.7,4.0,20.0,8.1,1030.4,994.2
Kerry,VALENTIA OBSERVATORY,1990,7,27.5,7.0,19.4,5.9,22.4,9.3,1031.7,997.3
Clare,SHANNON AIRPORT,1990,7,26.4,8.4,17.9,3.6,20.5,7.9,1030.4,991.2
Cork,ROCHES POINT,1990,7,21.5,8.5,17.4,4.5,19.9,8.4,1030.5,994.3
Westmeath,MULLINGAR,1990,7,26.3,3.8,17.3,2.8,19.7,7.5,1028.5,986.8
Donegal,MALIN HEAD,1990,7,24.1,9.7,17.3,5.0,19.7,8.8,1029.3,986.3
Dublin,DUBLIN AIRPORT,1990,7,24.7,6.3,17.3,2.8,19.7,7.5,1028.6,986.9
Mayo,BELMULLET,1990,8,19.9,9.4,18.1,7.3,20.8,10.2,1028.9,992.6
Cork,CORK AIRPORT,1990,8,24.4,9.0,19.8,6.8,23.0,9.8,1029.5,1000.5
Dublin,CASEMENT,1990,8,29.2,7.5,18.9,6.3,21.8,9.6,1028.2,996.1
Mayo,CLAREMORRIS,1990,8,23.6,8.1,19.1,6.8,22.2,9.9,1028.7,993.6
Kerry,VALENTIA OBSERVATORY,1990,8,22.8,8.3,20.5,7.4,24.1,10.3,1029.5,1001.2
Cork,ROCHES POINT,1990,8,23.2,10.3,19.1,6.5,22.1,9.7,1029.0,1001.0
Clare,SHANNON AIRPORT,1990,8,26.6,11.0,19.8,6.3,23.1,9.5,1029.6,998.1
Westmeath,MULLINGAR,1990,8,26.7,7.5,19.7,5.8,22.9,9.2,1028.3,995.3
