county,station,year,month,day,max_day_temp,min_day_temp,max_day_dewpt,min_day_dewpt,max_day_vappr,min_day_vappr,max_day_msl,min_day_msl
Kerry,VALENTIA OBSERVATORY,2015,1,26,9.2,6.0,7.6,2.0,10.4,7.1,1033.6,1025.1
Roscommon,MT DILLON,2015,1,26,7.9,3.8,5.8,1.7,9.2,6.9,1030.3,1021.2
Wexford,JOHNSTOWNII,2015,1,26,9.2,4.3,8.9,2.0,11.4,7.1,1032.0,1022.4
Carlow,OAK PARK,2015,1,26,9.8,3.8,8.6,2.0,11.2,7.0,1031.5,1021.8
Cork,ROCHES POINT,2015,1,26,10.1,5.9,9.4,2.0,11.8,7.0,1033.4,1023.7
Westmeath,MULLINGAR,2015,1,26,7.9,3.0,7.0,1.4,10.0,6.8,1030.8,1021.0
Donegal,MALIN HEAD,2015,1,26,7.4,5.5,5.4,1.9,9.0,7.0,1026.8,1018.2
Meath,DUNSANY,2015,1,26,7.8,2.8,7.2,1.6,10.1,6.9,1030.4,1021.0
Cork,CORK AIRPORT,2015,1,26,9.2,4.1,9.2,2.0,11.6,7.0,1033.5,1024.1
Cavan,BALLYHAISE,2015,1,26,7.5,4.1,7.1,2.5,10.1,7.3,1029.2,1020.0
Mayo,CLAREMORRIS,2015,1,26,7.9,4.0,4.6,2.1,8.5,7.1,1030.8,1021.9
Clare,SHANNON AIRPORT,2015,1,26,8.7,5.1,6.7,1.6,9.8,6.9,1032.4,1023.6
Galway,MACE HEAD,2015,1,26,8.5,6.6,5.4,2.3,9.0,7.2,1031.1,1022.9
Sligo,MARKREE,2015,1,26,7.7,4.9,4.2,1.7,8.3,6.9,1029.9,1021.2
Dublin,DUBLIN AIRPORT,2015,1,26,8.3,3.7,7.6,2.0,10.5,7.1,1030.4,1020.8
Donegal,FINNER,2015,1,26,7.3,5.4,5.5,2.2,9.0,7.2,1028.9,1020.4
Mayo,KNOCK AIRPORT,2015,1,26,6.3,3.5,4.5,1.1,8.4,6.6,1030.6,1022.1
Mayo,BELMULLET,2015,1,26,8.4,5.9,5.0,1.9,8.7,7.0,1030.2,1021.9
Galway,ATHENRY,2015,1,26,8.3,3.9,6.2,2.2,9.5,7.2,1031.2,1022.4
Dublin,CASEMENT,2015,1,26,9.2,3.7,8.2,2.0,10.8,7.1,1030.5,1020.5
Cork,SherkinIsland,2015,1,26,9.5,7.5,9.0,2.9,11.5,7.5,1033.6,1024.7
Dublin,PHOENIX PARK,2015,1,26,9.4,3.5,8.5,1.5,11.1,6.8,1030.6,1020.9
Cork,MOORE PARK,2015,1,26,8.9,4.4,7.7,1.8,10.5,7.0,1032.7,1023.6
Mayo,NEWPORT,2015,1,26,8.5,5.7,5.3,1.7,8.9,6.9,1030.3,1022.3
Tipperary,GURTEEN,2015,1,26,8.0,3.2,7.3,1.7,10.2,6.9,1031.5,1022.1
Cavan,BALLYHAISE,2015,1,27,8.1,4.9,7.4,3.9,10.3,8.1,1029.4,1010.3
Carlow,OAK PARK,2015,1,27,7.6,4.4,7.0,3.3,10.0,7.8,1031.6,1014.6
Dublin,PHOENIX PARK,2015,1,27,8.3,4.8,6.1,2.8,9.4,7.5,1030.5,1012.5
Clare,SHANNON AIRPORT,2015,1,27,8.8,5.5,7.9,4.3,10.7,8.2,1032.5,1015.5
Cork,MOORE PARK,2015,1,27,9.8,3.4,8.2,3.1,10.8,7.6,1033.2,1016.3
Dublin,DUBLIN AIRPORT,2015,1,27,8.0,4.6,6.6,3.3,9.8,7.7,1030.4,1012.4
Meath,DUNSANY,2015,1,27,7.6,4.3,6.7,3.3,9.8,7.7,1030.3,1012.4
Galway,ATHENRY,2015,1,27,8.7,5.6,8.5,4.2,11.1,8.2,1031.3,1012.8
Cork,ROCHES POINT,2015,1,27,9.9,4.4,8.8,2.6,11.3,7.4,1033.4,1017.2
Donegal,FINNER,2015,1,27,9.0,6.0,7.8,4.6,10.6,8.5,1029.0,1008.6
Cork,CORK AIRPORT,2015,1,27,8.9,3.8,8.9,2.8,11.4,7.5,1033.8,1017.1
Kerry,VALENTIA OBSERVATORY,2015,1,27,10.2,7.0,9.5,4.7,11.9,8.6,1034.0,1017.0
Mayo,NEWPORT,2015,1,27,8.9,6.4,8.6,4.7,11.2,8.6,1030.5,1010.4
Sligo,MARKREE,2015,1,27,8.9,5.8,7.5,4.2,10.4,8.3,1030.2,1010.1
Mayo,KNOCK AIRPORT,2015,1,27,7.6,4.5,7.5,4.2,10.4,8.3,1030.7,1010.8
Tipperary,GURTEEN,2015,1,27,8.3,4.5,7.3,3.9,10.2,8.1,1031.7,1014.0
Mayo,BELMULLET,2015,1,27,9.5,7.5,8.7,4.4,11.2,8.3,1030.0,1008.5
Mayo,CLAREMORRIS,2015,1,27,8.6,5.2,8.1,3.9,10.8,8.1,1030.6,1010.9
Dublin,CASEMENT,2015,1,27,7.7,4.7,6.6,3.4,9.8,7.8,1030.6,1012.4
Cork,SherkinIsland,2015,1,27,9.9,6.8,9.6,4.6,12.0,8.5,1033.9,1018.2
Westmeath,MULLINGAR,2015,1,27,7.8,4.8,7.0,3.4,10.0,7.8,1030.6,1012.1
Roscommon,MT DILLON,2015,1,27,8.4,5.1,7.5,3.8,10.4,8.0,1030.3,1011.6
Donegal,MALIN HEAD,2015,1,27,8.5,6.9,7.2,5.2,10.2,8.9,1026.5,1005.4
Galway,MACE HEAD,2015,1,27,9.2,7.3,8.6,4.5,11.1,8.4,1031.1,1011.9
Wexford,JOHNSTOWNII,2015,1,27,8.6,4.5,8.4,3.3,11.0,7.8,1032.0,1015.6
Carlow,OAK PARK,2015,1,28,10.1,1.7,7.9,-1.5,10.7,5.5,1013.6,998.8
Cork,SherkinIsland,2015,1,28,10.2,4.2,9.9,-0.4,12.2,5.9,1016.9,1003.6
Dublin,PHOENIX PARK,2015,1,28,9.1,1.8,7.7,-2.4,10.5,5.1,1011.4,996.5
Westmeath,MULLINGAR,2015,1,28,9.0,1.0,8.0,-1.2,10.7,5.6,1010.7,996.5
Tipperary,GURTEEN,2015,1,28,9.4,1.7,8.5,-1.2,11.1,5.6,1012.0,998.5
Dublin,CASEMENT,2015,1,28,8.9,1.0,8.1,-0.8,10.8,5.8,1011.4,996.9
Cavan,BALLYHAISE,2015,1,28,9.3,0.7,8.3,-0.9,11.0,5.7,1008.5,994.1
Kerry,VALENTIA OBSERVATORY,2015,1,28,10.5,4.6,9.9,-2.5,12.2,5.1,1016.0,1004.2
Cork,ROCHES POINT,2015,1,28,10.6,3.1,9.4,-1.2,11.8,5.6,1015.9,1002.8
Cork,MOORE PARK,2015,1,28,10.8,2.3,8.9,-0.6,11.4,5.8,1015.2,1002.1
Wexford,JOHNSTOWNII,2015,1,28,9.1,1.9,8.8,-1.3,11.4,5.5,1014.0,999.9
Meath,DUNSANY,2015,1,28,9.0,1.0,7.8,-1.3,10.6,5.6,1011.1,996.2
Mayo,BELMULLET,2015,1,28,9.6,3.0,8.6,-2.1,11.2,5.2,1007.4,995.4
Galway,MACE HEAD,2015,1,28,9.4,3.8,8.7,-2.0,11.3,5.3,1010.3,997.8
Sligo,MARKREE,2015,1,28,9.4,1.8,8.0,-3.9,10.7,4.6,1007.6,994.7
Mayo,KNOCK AIRPORT,2015,1,28,8.0,0.5,7.5,-2.9,10.4,4.9,1009.1,996.5
Cork,CORK AIRPORT,2015,1,28,9.9,0.7,9.7,-1.7,12.0,5.4,1015.6,1003.1
Mayo,CLAREMORRIS,2015,1,28,9.2,0.9,8.5,-1.0,11.1,5.7,1009.3,996.7
Galway,ATHENRY,2015,1,28,9.5,1.7,9.0,-0.7,11.5,5.8,1011.0,998.0
Clare,SHANNON AIRPORT,2015,1,28,10.0,3.0,9.2,-1.9,11.6,5.3,1013.2,1000.1
Mayo,NEWPORT,2015,1,28,9.0,2.8,8.9,-2.2,11.4,5.2,1008.8,996.0
Donegal,MALIN HEAD,2015,1,28,9.1,1.6,7.7,-0.5,10.5,5.9,1003.2,988.3
Roscommon,MT DILLON,2015,1,28,9.7,1.4,8.4,-0.9,11.0,5.7,1009.5,995.9
Dublin,DUBLIN AIRPORT,2015,1,28,8.9,1.5,8.1,-1.1,10.8,5.7,1011.2,996.2
Donegal,FINNER,2015,1,28,9.8,2.0,7.9,-1.9,10.6,5.3,1005.9,992.5
Mayo,BELMULLET,2015,1,29,6.6,1.6,2.9,-1.5,7.5,5.5,994.5,983.3
Mayo,CLAREMORRIS,2015,1,29,5.0,0.3,2.3,-0.8,7.2,5.7,995.6,982.4
